-,-,[onset_present],[onset_present],[onset_present],[onset_present],[onset_present],[onset_present],[MEAN],[95ci]
-,-,[no],[no],[no],[yes],[yes],[yes],-,-
-,-,[cond],[cond],[cond],[cond],[cond],[cond],-,-
-,-,[both],[retino],[spatio],[both],[retino],[spatio],-,-
[FILE],[PP01.asc],592.32,551.596153846,561.826086957,559.897959184,531.268292683,566.9375,560.640998778,18.2104670958
[FILE],[PP02.asc],870.0,837.571428571,895.391304348,783.857142857,807.565217391,827.368421053,836.958919037,37.1532812228
[FILE],[PP03.asc],867.291666667,788.041666667,837.928571429,807.458333333,713.391304348,702.904761905,786.169384058,60.4789346315
[FILE],[PP04.asc],705.033333333,634.333333333,697.787878788,638.458333333,705.161290323,577.28125,659.675903185,47.3639271803
[FILE],[PP05.asc],848.052631579,899.1,839.59375,828.525,791.580645161,770.85,829.617004457,41.1679737654
[FILE],[PP06.asc],730.694444444,733.547619048,707.244444444,756.279069767,677.904761905,684.98,715.108389935,27.783768045
[FILE],[PP07.asc],609.52173913,595.285714286,588.222222222,624.62745098,611.204545455,593.604166667,603.744306457,12.5196175052
[FILE],[PP08.asc],931.666666667,1076.88,841.878787879,922.0,987.848484848,954.605263158,952.479867092,71.0934359734
[MEAN],-,769.322560228,764.544489469,746.234130758,740.137911182,728.240567764,709.816420348,743.049346625,-
[95ci],-,83.0038054204,113.192912785,81.7584406863,78.9181043842,89.5115440578,88.2051081844,-,131.212977282
