acc,accuracy,angle_offset,average_response_time,avg_rt,background,canvas_backend,compensation,coordinates,correct,correct_instructions,correct_instructions2,correct_instructions3,correct_keyboard_response,correct_response,count_about_this_experiment,count_blank,count_block_loop,count_block_sequence,count_canvas1,count_canvas2,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_fix_green,count_fix_red,count_fixdot,count_instructions,count_instructions2,count_instructions3,count_jitter,count_keyboard_response,count_load_sacclat,count_logger,count_practice_loop,count_prepare,count_synth,count_trial_sequence,delay_jitter,description,dist_col,foreground,height,jump_size,keyboard_backend,line_len,mouse_backend,onset,onset_present,positions,practice,radius,response,response_instructions,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_instructions,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,sampler_backend,set_size,start,stim_angle,stim_size,subject_nr,subject_parity,synth_backend,target,target_angle,target_col,time_fix_red,time_fixdot,time_jitter,title,width
"0","0","244","22842","22842","black","legacy","0","relative","0","undefined","undefined","undefined","0","slash","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1197","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","240_180_0_120","yes","170","z","space","/","z","z","1250","14023","75056","1039","1250","legacy","4","experiment","60","34","2","even","legacy","0","90","green","1192039.0","1187439.0","1188689.0","0031B","1024"
"0","0","30","18467","18467","black","legacy","0","relative","0","undefined","undefined","undefined","0","z","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","1","0","1","1","1","243","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","60_300_180","yes","170","/","space","/","z","/","971","14023","75056","1039","971","legacy","3","experiment","60","34","2","even","legacy","180","0","green","1196319.0","1192778.0","1194028.0","0031B","1024"
"16.666667","16.666667","171","15774","15774","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","2","0","0","2","2","0","0","0","0","2","2","2","0","0","0","2","2","0","2","0","2","2","2","1195","Logs experimental data","green","white","768","380","legacy","20","legacy","120","yes","180_300_60","yes","170","z","space","/","z","z","2308","14023","75056","1039","2308","legacy","3","experiment","60","34","2","even","legacy","60","0","red","1196319.0","1197055.0","1198305.0","0031B","1024"
"28.571429","28.571429","144","13684","13684","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","3","0","0","3","3","0","0","0","0","3","3","3","0","0","0","3","3","0","3","0","3","3","3","1681","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","300_0_60","yes","170","z","space","/","z","z","1143","14023","75056","1039","1143","legacy","3","experiment","60","34","2","even","legacy","300","0","green","1196319.0","1203478.0","1204728.0","0031B","1024"
"25","25","178","12119","12119","black","legacy","0","relative","0","undefined","undefined","undefined","0","slash","0","4","0","0","4","4","0","0","0","0","4","4","4","0","0","0","4","4","0","4","0","4","4","4","389","Logs experimental data","green","white","768","380","legacy","20","legacy","120","yes","0_180_300_60","yes","170","z","space","/","z","z","1162","14023","75056","1039","1162","legacy","4","experiment","60","34","2","even","legacy","300","90","red","1212895.0","1209263.0","1210513.0","0031B","1024"
"22.222222","22.222222","63","10874","10874","black","legacy","0","relative","0","undefined","undefined","undefined","0","slash","0","5","0","0","5","5","0","0","0","0","5","5","5","0","0","0","5","5","0","5","0","5","5","5","282","Logs experimental data","red","white","768","380","legacy","20","legacy","240","yes","300_60_180_0","yes","170","z","space","/","z","z","921","14023","75056","1039","921","legacy","4","experiment","60","34","2","even","legacy","180","90","green","1217127.0","1213631.0","1214881.0","0031B","1024"
"30","30","119","9873","9873","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","6","0","0","6","6","0","0","0","0","6","6","6","0","0","0","6","6","0","6","0","6","6","6","1297","Logs experimental data","green","white","768","380","legacy","20","legacy","180","yes","300_120_240_0","yes","170","/","space","/","z","/","860","14023","75056","1039","860","legacy","4","experiment","60","34","2","even","legacy","240","90","red","1217127.0","1217864.0","1219114.0","0031B","1024"
"36.363636","36.363636","195","9070","9070","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","7","0","0","7","7","0","0","0","0","7","7","7","0","0","0","7","7","0","7","0","7","7","7","385","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","180_120_300_0","yes","170","z","space","/","z","z","1042","14023","75056","1039","1042","legacy","4","experiment","60","34","2","even","legacy","300","0","green","1217127.0","1222888.0","1224138.0","0031B","1024"
"41.666667","41.666667","179","8388","8388","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","8","0","0","8","8","0","0","0","0","8","8","8","0","0","0","8","8","0","8","0","8","8","8","228","Logs experimental data","red","white","768","380","legacy","20","legacy","120","yes","240_0_180","yes","170","z","space","/","z","z","892","14023","75056","1039","892","legacy","3","experiment","60","34","2","even","legacy","240","0","green","1217127.0","1227230.0","1228480.0","0031B","1024"
"46.153846","46.153846","99","7846","7846","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","9","0","0","9","9","0","0","0","0","9","9","9","0","0","0","9","9","0","9","0","9","9","9","147","Logs experimental data","red","white","768","380","legacy","20","legacy","60","yes","240_300_0","yes","170","/","space","/","z","/","1338","14023","75056","1039","1338","legacy","3","experiment","60","34","2","even","legacy","300","90","green","1217127.0","1231478.0","1232728.0","0031B","1024"
