acc,accuracy,angle_offset,average_response_time,avg_rt,background,canvas_backend,compensation,coordinates,correct,correct_instructions,correct_instructions2,correct_instructions3,correct_keyboard_response,correct_response,count_about_this_experiment,count_blank,count_block_loop,count_block_sequence,count_canvas1,count_canvas2,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_fix_green,count_fix_red,count_fixdot,count_instructions,count_instructions2,count_instructions3,count_jitter,count_keyboard_response,count_load_sacclat,count_logger,count_practice_loop,count_prepare,count_synth,count_trial_sequence,delay_jitter,description,dist_col,foreground,height,jump_size,keyboard_backend,line_len,mouse_backend,onset,onset_present,positions,practice,radius,response,response_instructions,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_instructions,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,sampler_backend,set_size,start,stim_angle,stim_size,subject_nr,subject_parity,synth_backend,target,target_angle,target_col,time_fix_green,time_fixdot,time_jitter,title,width
"25","25","342","14394","14394","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","443","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","180_240_0_300","yes","170","z","z","/","z","z","1239","40799","13896","1642","1239","legacy","4","experiment","60","34","4","even","legacy","0","0","green","61513.0","57629.0","58880.0","0031B","1024"
"40","40","219","11814","11814","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","1","0","1","1","1","560","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","240_180_60","yes","170","/","z","/","z","/","1494","40799","13896","1642","1494","legacy","3","experiment","60","34","4","even","legacy","180","90","green","66517.0","62275.0","63525.0","0031B","1024"
"50","50","243","10150","10150","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","2","0","0","2","2","0","0","0","0","2","2","2","0","0","0","2","2","0","2","0","2","2","2","1211","Logs experimental data","green","white","768","380","legacy","20","legacy","na","no","180_300_0","yes","170","z","z","/","z","z","1831","40799","13896","1642","1831","legacy","3","experiment","60","34","4","even","legacy","300","0","red","72323.0","67268.0","68518.0","0031B","1024"
"42.857143","42.857143","75","8872","8872","black","legacy","0","relative","0","undefined","undefined","undefined","0","z","0","3","0","0","3","3","0","0","0","0","3","3","3","0","0","0","3","3","0","3","0","3","3","3","89","Logs experimental data","red","white","768","380","legacy","20","legacy","120","yes","240_180_60","yes","170","/","z","/","z","/","1205","40799","13896","1642","1205","legacy","3","experiment","60","34","4","even","legacy","180","0","green","72323.0","73073.0","74323.0","0031B","1024"
"37.5","37.5","352","7896","7896","black","legacy","0","relative","0","undefined","undefined","undefined","0","z","0","4","0","0","4","4","0","0","0","0","4","4","4","0","0","0","4","4","0","4","0","4","4","4","501","Logs experimental data","red","white","768","380","legacy","20","legacy","180","yes","240_0_300","yes","170","/","z","/","z","/","1066","40799","13896","1642","1066","legacy","3","experiment","60","34","4","even","legacy","0","0","green","72323.0","77506.0","78756.0","0031B","1024"
"44.444444","44.444444","106","7120","7120","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","5","0","0","5","5","0","0","0","0","5","5","5","0","0","0","5","5","0","5","0","5","5","5","894","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","0_120_300_60","yes","170","/","z","/","z","/","912","40799","13896","1642","912","legacy","4","experiment","60","34","4","even","legacy","60","90","green","86036.0","82167.0","83417.0","0031B","1024"
"50","50","160","6488","6488","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","6","0","0","6","6","0","0","0","0","6","6","6","0","0","0","6","6","0","6","0","6","6","6","560","Logs experimental data","green","white","768","380","legacy","20","legacy","240","yes","0_120_180_60","yes","170","z","z","/","z","z","803","40799","13896","1642","803","legacy","4","experiment","60","34","4","even","legacy","0","0","red","90467.0","86791.0","88041.0","0031B","1024"
"54.545455","54.545455","346","5998","5998","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","7","0","0","7","7","0","0","0","0","7","7","7","0","0","0","7","7","0","7","0","7","7","7","665","Logs experimental data","green","white","768","380","legacy","20","legacy","na","no","60_180_240","yes","170","/","z","/","z","/","1095","40799","13896","1642","1095","legacy","3","experiment","60","34","4","even","legacy","240","90","red","95089.0","91218.0","92469.0","0031B","1024"
"58.333333","58.333333","1","5587","5587","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","8","0","0","8","8","0","0","0","0","8","8","8","0","0","0","8","8","0","8","0","8","8","8","0","Logs experimental data","green","white","768","380","legacy","20","legacy","na","no","60_180_120_240","yes","170","z","z","/","z","z","1068","40799","13896","1642","1068","legacy","4","experiment","60","34","4","even","legacy","120","0","red","98757.0","95842.0","97093.0","0031B","1024"
"61.538462","61.538462","190","5213","5213","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","9","0","0","9","9","0","0","0","0","9","9","9","0","0","0","9","9","0","9","0","9","9","9","418","Logs experimental data","green","white","768","380","legacy","20","legacy","60","yes","240_0_300_120","yes","170","z","z","/","z","z","721","40799","13896","1642","721","legacy","4","experiment","60","34","4","even","legacy","300","0","red","103416.0","99510.0","100761.0","0031B","1024"
