-,-,[onset_present],[onset_present],[onset_present],[onset_present],[MEAN],[95ci]
-,-,[no],[no],[yes],[yes],-,-
-,-,[set_size],[set_size],[set_size],[set_size],-,-
-,-,[3.0],[4.0],[3.0],[4.0],-,-
[subject_nr],[1.0],527.510638298,510.78,538.574468085,564.543478261,535.352146161,19.5435209268
[subject_nr],[2.0],808.936170213,769.204081633,969.875,888.681818182,859.174267507,77.0451953196
[subject_nr],[3.0],519.551020408,510.234042553,565.051282051,582.186046512,544.255597881,30.161903904
[subject_nr],[4.0],952.75,885.680851064,918.365853659,863.891304348,905.172002268,33.621959263
[subject_nr],[5.0],824.285714286,788.893617021,800.021276596,865.42,819.655151976,29.3582378438
[subject_nr],[6.0],709.333333333,703.413043478,767.829268293,763.869565217,736.11130258,29.8445400319
[subject_nr],[7.0],855.234042553,823.714285714,879.52173913,866.666666667,856.284183516,20.6741443968
[subject_nr],[8.0],740.4375,699.063829787,746.6,742.625,732.181582447,19.2477365604
[MEAN],-,742.254802386,711.372968906,773.229860977,767.235484898,748.523279292,-
[95ci],-,99.5336942345,89.43908804,101.279959803,84.7156959167,-,137.81850906
