__trace_baseline__,__trace_postTarget__,__trace_preTarget__,_dummy,_prepare,_run,acc,accuracy,attLum,auto_log,average_response_time,avg_rt,background,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,correct,correct_response,count_about_this_template,count_block_loop,count_block_sequence,count_cue,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_log,count_eyelink_log_cue,count_eyelink_log_mask,count_eyelink_log_target,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_fix_green,count_fix_red,count_fixdot,count_init,count_instructions,count_logger,count_mask,count_measure_pupil,count_practice_loop,count_reset_feedback,count_retention,count_target,count_trial_sequence,cue,cueside,cycles,description,dev,duration,eye_used,file,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,gazeDevPostTargetM,gazeDevPostTargetMax,gazeDevPostTargetStd,gazeDevPreTargetM,gazeDevPreTargetMax,gazeDevPreTargetStd,height,interval,item,keyboard_backend,lcol,log_msg,mode,mouse_backend,n_blink,note,offset,order,ori,outlier,practice,pupil_mean,pupil_median,rcol,repeat,repeat_cycle,reset_variables,response,response_time,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,sdx,skip,start,start_response_interval,subject_nr,subject_parity,synth_backend,time_about_this_template,time_block_loop,time_block_sequence,time_cue,time_experiment,time_experimental_loop,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_log,time_eyelink_log_cue,time_eyelink_log_mask,time_eyelink_log_target,time_eyelink_start_recording,time_eyelink_stop_recording,time_fix_green,time_fix_red,time_fixdot,time_init,time_logger,time_mask,time_measure_pupil,time_practice_loop,time_reset_feedback,time_retention,time_target,time_trial_sequence,timeout,title,tracker_attached,trialId,width,xdist,xpos,xtarget,ypos
traces/exp1/SS10.asc-00000-baseline.npy,traces/exp1/SS10.asc-00000-postTarget.npy,traces/exp1/SS10.asc-00000-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,4637.02220997,4637.02220997,#7f7f7f,NA,NA,psycho,NA,0,relative,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,invalid,left,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,-75.263945166,338.039046989,183.715460908,-18.5635303308,6.13904698875,11.6591503623,768,1395.35259409,NA,psycho,white,NA,NA,psycho,0,NA,NA,NA,-45,0,yes,1829.39585714,1823.0,black,NA,0,NA,2,4637.02220997,NA,NA,legacy,342.6,NA,experiment,None,10,even,legacy,NA,NA,NA,99602.4963241,NA,NA,83001.8733122,95834.0882881,106793.365199,99593.2697108,101637.706965,101532.753164,97966.1259118,NA,106292.70985,NA,98092.4728626,NA,NA,101652.573078,NA,NA,NA,100112.52491,101542.615815,NA,NA,0045A,NA,0,1024,-320,NA,320,NA
traces/exp1/SS10.asc-00001-baseline.npy,traces/exp1/SS10.asc-00001-postTarget.npy,traces/exp1/SS10.asc-00001-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,2674.32087533,2674.32087533,#7f7f7f,NA,NA,psycho,NA,0,relative,1,1,NA,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,0,0,1,1,1,valid,right,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,124.034005781,312.290219561,159.11517546,-7.3247325158,25.9902195609,13.4050395874,768,1026.97791257,NA,psycho,black,NA,NA,psycho,0,NA,NA,NA,45,0,yes,1602.59914261,1589.0,white,NA,0,NA,1,711.619540695,NA,NA,legacy,314.2,NA,experiment,None,10,even,legacy,NA,NA,NA,111082.811895,NA,NA,83001.8733122,107776.773489,113972.862072,111073.483237,112738.072604,112637.752393,109355.274718,107113.819869,113472.885915,NA,109572.797675,NA,NA,112752.86679,NA,NA,NA,111592.824108,112643.021845,NA,NA,0045A,NA,1,1024,-320,NA,320,NA
traces/exp1/SS10.asc-00002-baseline.npy,traces/exp1/SS10.asc-00002-postTarget.npy,traces/exp1/SS10.asc-00002-preTarget.npy,NA,NA,NA,66.6666666667,66.6666666667,white,yes,1954.86834627,1954.86834627,#7f7f7f,NA,NA,psycho,NA,0,relative,0,1,NA,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,NA,2,2,2,2,0,2,2,2,0,0,2,2,2,valid,right,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,54.8125347734,283.234920635,127.603416027,-23.1193698632,0.0349206349219,9.38874330497,768,1835.4799654,NA,psycho,black,NA,NA,psycho,0,NA,NA,NA,45,0,yes,1885.91908204,1806.0,white,NA,0,NA,2,515.963288156,NA,NA,legacy,300.4,NA,experiment,None,10,even,legacy,NA,NA,NA,118963.038642,NA,NA,83001.8733122,114961.342576,122483.377208,118953.190199,121448.147094,121342.312677,117326.73644,114291.459992,113472.885915,121983.14428,117453.020049,NA,NA,121453.218761,NA,NA,NA,119473.052079,121353.096256,NA,NA,0045A,NA,2,1024,-320,NA,320,NA
traces/exp1/SS10.asc-00003-baseline.npy,traces/exp1/SS10.asc-00003-postTarget.npy,traces/exp1/SS10.asc-00003-preTarget.npy,NA,NA,NA,50.0,50.0,white,yes,1684.29139709,1684.29139709,#7f7f7f,NA,NA,psycho,NA,0,relative,0,2,NA,0,0,3,0,0,0,0,0,3,3,3,3,3,3,3,NA,3,3,3,3,0,3,3,3,0,0,3,3,3,valid,left,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,nan,nan,nan,nan,nan,nan,768,1487.15195504,NA,psycho,white,NA,NA,psycho,1,NA,NA,NA,-45,0,yes,1647.65787107,1591.0,black,NA,0,NA,1,872.56054956,NA,NA,legacy,8.5,NA,experiment,None,10,even,legacy,NA,NA,NA,126703.254977,NA,NA,83001.8733122,123463.422125,130223.447376,126693.252318,128828.345113,128726.607147,124976.073666,122800.323709,113472.885915,129723.33304,125193.263425,NA,NA,128833.327016,NA,NA,NA,127213.285545,128733.30042,NA,NA,0045A,NA,3,1024,320,NA,-320,NA
traces/exp1/SS10.asc-00004-baseline.npy,traces/exp1/SS10.asc-00004-postTarget.npy,traces/exp1/SS10.asc-00004-preTarget.npy,NA,NA,NA,60.0,60.0,black,yes,1454.7335964,1454.7335964,#7f7f7f,NA,NA,psycho,NA,0,relative,1,1,NA,0,0,4,0,0,0,0,0,4,4,4,4,4,4,4,NA,4,4,4,4,0,4,4,4,0,0,4,4,4,valid,left,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,nan,nan,nan,nan,nan,nan,768,1862.24168071,NA,psycho,black,NA,NA,psycho,1,NA,NA,NA,45,0,yes,1832.42619671,1811.0,white,NA,0,NA,1,536.502393606,NA,NA,legacy,1.8,NA,experiment,None,10,even,legacy,NA,NA,NA,134953.477878,NA,NA,83001.8733122,131206.568552,138524.071509,134944.051455,137468.608528,137359.405439,133222.449164,130541.085673,138023.554229,129723.33304,133443.468876,NA,NA,137473.519796,NA,NA,NA,135463.497589,137373.55342,NA,NA,0045A,NA,4,1024,320,NA,-320,NA
traces/exp1/SS10.asc-00005-baseline.npy,traces/exp1/SS10.asc-00005-postTarget.npy,traces/exp1/SS10.asc-00005-preTarget.npy,NA,NA,NA,50.0,50.0,white,yes,1340.90557491,1340.90557491,#7f7f7f,NA,NA,psycho,NA,0,relative,0,1,NA,0,0,5,0,0,0,0,0,5,5,5,5,5,5,5,NA,5,5,5,5,0,5,5,5,0,0,5,5,5,invalid,right,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,6.97660217116,12.063962766,3.29132596604,4.5989842662,13.363962766,6.36131940552,768,1545.50241673,NA,psycho,black,NA,NA,psycho,0,NA,NA,NA,45,0,yes,1432.18118853,1447.0,white,NA,0,NA,2,771.765467448,NA,NA,legacy,0.0,NA,experiment,None,10,even,legacy,NA,NA,NA,143203.705747,NA,NA,83001.8733122,139502.063777,146684.013407,143193.869378,145388.790268,145287.205543,141476.697526,138840.668894,138023.554229,146183.826609,141693.663741,NA,NA,145393.881598,NA,NA,NA,143713.721698,145293.739205,NA,NA,0045A,NA,5,1024,320,NA,-320,NA
traces/exp1/SS10.asc-00006-baseline.npy,traces/exp1/SS10.asc-00006-postTarget.npy,traces/exp1/SS10.asc-00006-preTarget.npy,NA,NA,NA,42.8571428571,42.8571428571,black,yes,1265.99402032,1265.99402032,#7f7f7f,NA,NA,psycho,NA,0,relative,0,2,NA,0,0,6,0,0,0,0,0,6,6,6,6,6,6,6,NA,6,6,6,6,0,6,6,6,0,0,6,6,6,valid,left,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,nan,nan,nan,nan,nan,nan,768,1857.49762901,NA,psycho,black,NA,NA,psycho,2,NA,NA,NA,-45,0,yes,1825.05412989,1729.0,white,NA,0,NA,1,816.524692807,NA,NA,legacy,16.1,NA,experiment,None,10,even,legacy,NA,NA,NA,150773.908978,NA,NA,83001.8733122,147661.350459,154614.505951,150764.008725,153279.031334,153175.06709,149039.105667,147001.060639,138023.554229,154113.98929,149263.890593,NA,NA,153283.996057,NA,NA,NA,151283.927501,153183.980021,NA,NA,0045A,NA,6,1024,320,NA,-320,NA
traces/exp1/SS10.asc-00007-baseline.npy,traces/exp1/SS10.asc-00007-postTarget.npy,traces/exp1/SS10.asc-00007-preTarget.npy,NA,NA,NA,37.5,37.5,black,yes,1149.47292605,1149.47292605,#7f7f7f,NA,NA,psycho,NA,0,relative,0,1,NA,0,0,7,0,0,0,0,0,7,7,7,7,7,7,7,NA,7,7,7,7,0,7,7,7,0,0,7,7,7,invalid,left,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,-14.1352066157,-4.52772998015,6.08506914052,-17.9579847572,9.97227001985,14.8016626906,768,1031.86608161,NA,psycho,black,NA,NA,psycho,0,NA,NA,NA,45,0,yes,1871.5312161,1905.0,white,NA,0,NA,2,333.825266126,NA,NA,legacy,2.0,NA,experiment,None,10,even,legacy,NA,NA,NA,160404.173148,NA,NA,83001.8733122,155594.763829,162924.859013,160394.656979,162069.271422,161964.338512,158670.137422,154932.489407,138023.554229,162424.248022,158894.1362,NA,NA,162074.386917,NA,NA,NA,160914.227929,161974.221824,NA,NA,0045A,NA,7,1024,-320,NA,320,NA
traces/exp1/SS10.asc-00008-baseline.npy,traces/exp1/SS10.asc-00008-postTarget.npy,traces/exp1/SS10.asc-00008-preTarget.npy,NA,NA,NA,44.4444444444,44.4444444444,black,yes,1064.83446845,1064.83446845,#7f7f7f,NA,NA,psycho,NA,0,relative,1,1,NA,0,0,8,0,0,0,0,0,8,8,8,8,8,8,8,NA,8,8,8,8,0,8,8,8,0,0,8,8,8,invalid,right,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,6.47378967713,11.3361772487,3.08796490447,14.012244837,32.7361772487,7.88069187012,768,2683.74998315,NA,psycho,white,NA,NA,psycho,0,NA,NA,NA,45,0,yes,1923.24346235,1986.0,black,NA,0,NA,1,387.726807648,NA,NA,legacy,14.4,NA,experiment,None,10,even,legacy,NA,NA,NA,167314.356569,NA,NA,83001.8733122,163904.236131,171565.329659,167304.644341,170659.550873,170559.058278,165578.520739,163241.888783,171064.460502,162424.248022,165804.312563,NA,NA,170664.539262,NA,NA,NA,167824.394168,170564.469242,NA,NA,0045A,NA,8,1024,320,NA,-320,NA
traces/exp1/SS10.asc-00009-baseline.npy,traces/exp1/SS10.asc-00009-postTarget.npy,traces/exp1/SS10.asc-00009-preTarget.npy,NA,NA,NA,50.0,50.0,white,yes,1013.36644144,1013.36644144,#7f7f7f,NA,NA,psycho,NA,0,relative,1,1,NA,0,0,9,0,0,0,0,0,9,9,9,9,9,9,9,NA,9,9,9,9,0,9,9,9,0,0,9,9,9,valid,right,NA,Message,NA,NA,undefined,SS10.asc,NA,no,mono,no,18,white,-12.1574795575,1.99656084656,9.45788883231,-3.39444247019,3.69656084656,4.38344043775,768,1858.97981715,NA,psycho,black,NA,NA,psycho,0,NA,NA,NA,45,0,yes,1759.77290324,1735.0,white,NA,0,NA,1,550.154198359,NA,NA,legacy,45.2,NA,experiment,None,10,even,legacy,NA,NA,NA,176034.587418,NA,NA,83001.8733122,172538.242885,179605.194767,176025.160217,178539.715061,178437.707816,174299.81694,171882.067332,179104.679408,162424.248022,174524.555575,NA,NA,178544.648476,NA,NA,NA,176544.604964,178444.649815,NA,NA,0045A,NA,9,1024,-320,NA,320,NA
