__match__,__trace_baseline__,__trace_postTarget__,__trace_preTarget__,_dummy,_prepare,_run,acc,accuracy,attLum,auto_log,average_response_time,avg_rt,background,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,correct,correct_response,count_about_this_template,count_block_loop,count_block_sequence,count_cue,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_log,count_eyelink_log_cue,count_eyelink_log_mask,count_eyelink_log_target,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_fix_green,count_fix_red,count_fixdot,count_init,count_instructions,count_logger,count_mask,count_measure_pupil,count_practice_loop,count_reset_feedback,count_retention,count_target,count_trial_sequence,cue,cueside,cycles,description,dev,duration,eye_used,file,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,gazeDevPostTargetM,gazeDevPostTargetMax,gazeDevPostTargetStd,gazeDevPreTargetM,gazeDevPreTargetMax,gazeDevPreTargetStd,height,interval,item,keyboard_backend,lcol,log_msg,mode,mouse_backend,n_blink,note,offset,order,ori,outlier,practice,pupil_mean,pupil_median,rcol,repeat,repeat_cycle,reset_variables,response,response_time,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,sdx,skip,start,start_response_interval,subject_nr,subject_parity,synth_backend,time_about_this_template,time_block_loop,time_block_sequence,time_cue,time_experiment,time_experimental_loop,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_log,time_eyelink_log_cue,time_eyelink_log_mask,time_eyelink_log_target,time_eyelink_start_recording,time_eyelink_stop_recording,time_fix_green,time_fix_red,time_fixdot,time_init,time_logger,time_mask,time_measure_pupil,time_practice_loop,time_reset_feedback,time_retention,time_target,time_trial_sequence,timeout,title,tracker_attached,trialId,width,xdist,xpos,xtarget,ypos,zrt
1.0,traces/exp1/SS01.asc-00017-baseline.npy,traces/exp1/SS01.asc-00017-postTarget.npy,traces/exp1/SS01.asc-00017-preTarget.npy,NA,NA,NA,100.0,100.0,black,yes,318.029945414,318.029945414,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,6.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,17.0,0.0,1.0,17.0,17.0,17.0,valid,right,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,9.29682539683,17.2759920635,4.00642429485,1.03971200692,17.2759920635,6.15369042304,768.0,2266.51261669,NA,psycho,white,NA,NA,psycho,0.0,NA,NA,NA,45.0,0.0,no,2716.25570479,2810.0,black,NA,0.0,NA,6.0,303.574313168,NA,NA,legacy,0.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,154152.652047,NA,NA,516.164183997,151040.217943,157903.001747,154143.352163,157077.790033,156971.699289,152417.688669,150383.331222,157402.7122,NA,152642.618794,NA,NA,157092.71943,NA,NA,NA,154662.663211,156982.713186,NA,NA,0045A,NA,17.0,1024.0,-320.0,NA,320.0,NA,-0.57646627345
1.0,traces/exp1/SS01.asc-00018-baseline.npy,traces/exp1/SS01.asc-00018-postTarget.npy,traces/exp1/SS01.asc-00018-preTarget.npy,NA,NA,NA,100.0,100.0,black,yes,309.00769011,309.00769011,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,7.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,1.0,18.0,18.0,18.0,valid,left,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,10.8680646576,21.3445033113,4.72906538466,12.8007324082,21.3445033113,7.85510472422,768.0,1838.82426788,NA,psycho,black,NA,NA,psycho,0.0,NA,NA,NA,-45.0,0.0,no,2521.64475922,2585.0,white,NA,0.0,NA,7.0,290.963179501,NA,NA,legacy,39.5,NA,experiment,None,0.0,even,legacy,NA,NA,NA,162962.81732,NA,NA,516.164183997,158560.461328,166263.041025,162953.556572,165447.949529,165345.545703,161228.907977,157913.91838,165762.876615,NA,161452.809407,NA,NA,165462.879551,NA,NA,NA,163472.913379,165352.869743,NA,NA,0045A,NA,18.0,1024.0,320.0,NA,-320.0,NA,-0.697508878173
1.0,traces/exp1/SS01.asc-00019-baseline.npy,traces/exp1/SS01.asc-00019-postTarget.npy,traces/exp1/SS01.asc-00019-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,307.641719673,307.641719673,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,7.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0,19.0,0.0,1.0,19.0,19.0,19.0,valid,left,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,-6.59176282285,1.61777629827,3.81601874174,7.56669691108,19.8177762983,8.42164186841,768.0,2309.08805726,NA,psycho,white,NA,NA,psycho,0.0,NA,NA,NA,-45.0,0.0,no,2350.7558026,2326.0,black,NA,0.0,NA,7.0,303.543808364,NA,NA,legacy,16.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,170342.958055,NA,NA,516.164183997,166922.284393,174133.819212,170333.143787,173308.133147,173205.159282,168618.158136,166274.445548,173633.03046,NA,168832.934425,NA,NA,173323.026974,NA,NA,NA,170852.974142,173213.028192,NA,NA,0045A,NA,19.0,1024.0,320.0,NA,-320.0,NA,-0.576759060842
1.0,traces/exp1/SS01.asc-00020-baseline.npy,traces/exp1/SS01.asc-00020-postTarget.npy,traces/exp1/SS01.asc-00020-preTarget.npy,NA,NA,NA,100.0,100.0,black,yes,313.336634938,313.336634938,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,6.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,1.0,20.0,20.0,20.0,valid,left,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,12.8625062379,21.9350166113,4.66089513834,11.4078842584,25.1350166113,10.7153974157,768.0,825.542433177,NA,psycho,black,NA,NA,psycho,0.0,NA,NA,NA,45.0,0.0,no,2331.00655336,2339.0,white,NA,0.0,NA,6.0,336.116295996,NA,NA,legacy,0.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,178613.118278,NA,NA,516.164183997,174792.159634,180923.585104,178603.319664,180068.257906,179963.394761,176883.577137,174144.984361,180423.153222,NA,177103.085993,NA,NA,180083.186451,NA,NA,NA,179123.13822,179973.155742,NA,NA,0045A,NA,20.0,1024.0,320.0,NA,-320.0,NA,-0.264125886903
0.0,traces/exp1/SS01.asc-00022-baseline.npy,traces/exp1/SS01.asc-00022-postTarget.npy,traces/exp1/SS01.asc-00022-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,325.259537236,325.259537236,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,6.0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,1.0,22.0,22.0,22.0,valid,left,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,-2.73214193413,5.13417385534,3.95539366665,4.72272251306,19.6341738553,7.7156077484,768.0,1829.51848945,NA,psycho,white,NA,NA,psycho,0.0,NA,NA,NA,45.0,0.0,no,2364.53988834,2341.0,black,NA,0.0,NA,6.0,319.23956933,NA,NA,legacy,45.7,NA,experiment,None,0.0,even,legacy,NA,NA,NA,193693.399365,NA,NA,516.164183997,189664.951228,197013.780761,193683.790602,196168.561264,196067.484805,191960.05378,189015.410394,196513.467846,NA,192183.372418,NA,NA,196183.468324,NA,NA,NA,194203.415037,196073.460971,NA,NA,0045A,NA,22.0,1024.0,320.0,NA,-320.0,NA,-0.426109972457
1.0,traces/exp1/SS01.asc-00023-baseline.npy,traces/exp1/SS01.asc-00023-postTarget.npy,traces/exp1/SS01.asc-00023-preTarget.npy,NA,NA,NA,100.0,100.0,black,yes,318.761730275,318.761730275,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,7.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,23.0,23.0,23.0,23.0,0.0,23.0,23.0,23.0,0.0,1.0,23.0,23.0,23.0,valid,right,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,-4.17900763191,0.131809145129,1.68126082576,-6.58399696657,3.53180914513,6.97474693018,768.0,1352.870802,NA,psycho,white,NA,NA,psycho,0.0,NA,NA,NA,-45.0,0.0,no,2509.94837444,2510.0,black,NA,0.0,NA,7.0,273.277081548,NA,NA,legacy,0.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,200793.576229,NA,NA,516.164183997,197669.985555,203583.836583,200784.150801,202788.76967,202681.980451,199062.47746,197024.953414,203083.588087,NA,199283.519616,NA,NA,202803.580722,NA,NA,NA,201303.565098,202693.626977,NA,NA,0045A,NA,23.0,1024.0,-320.0,NA,320.0,NA,-0.867261369911
0.0,traces/exp1/SS01.asc-00024-baseline.npy,traces/exp1/SS01.asc-00024-postTarget.npy,traces/exp1/SS01.asc-00024-preTarget.npy,NA,NA,NA,100.0,100.0,black,yes,313.656593635,313.656593635,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,6.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,1.0,24.0,24.0,24.0,valid,left,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,5.8655269715,14.6040397351,4.32787901227,3.63097232632,22.3040397351,5.84708787893,768.0,2662.68047855,NA,psycho,black,NA,NA,psycho,0.0,NA,NA,NA,45.0,0.0,no,2482.76996872,2445.0,white,NA,0.0,NA,6.0,272.815500519,NA,NA,legacy,61.1,NA,experiment,None,0.0,even,legacy,NA,NA,NA,208013.676618,NA,NA,516.164183997,204256.300744,212134.274826,208003.55133,211338.838763,211237.045644,206275.860943,203595.352683,211633.750028,NA,206503.65384,NA,NA,211353.75779,NA,NA,NA,208523.698838,211243.745339,NA,NA,0045A,NA,24.0,1024.0,320.0,NA,-320.0,NA,-0.871691659171
1.0,traces/exp1/SS01.asc-00025-baseline.npy,traces/exp1/SS01.asc-00025-postTarget.npy,traces/exp1/SS01.asc-00025-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,309.536837341,309.536837341,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,6.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,1.0,25.0,25.0,25.0,valid,right,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,-8.35368551444,-1.76193633952,3.07429602678,-11.9656427615,9.33806366048,7.53141951032,768.0,2164.75336822,NA,psycho,black,NA,NA,psycho,0.0,NA,NA,NA,45.0,0.0,no,2654.59289103,2644.0,white,NA,0.0,NA,6.0,272.459030691,NA,NA,legacy,0.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,216013.829554,NA,NA,516.164183997,212792.472552,219633.977345,216004.201898,218838.998577,218729.170112,214282.16942,212145.5704,219133.894341,NA,214503.798818,NA,NA,218853.895003,NA,NA,NA,216523.842405,218743.890366,NA,NA,0045A,NA,25.0,1024.0,-320.0,NA,320.0,NA,-0.875113083257
1.0,traces/exp1/SS01.asc-00028-baseline.npy,traces/exp1/SS01.asc-00028-postTarget.npy,traces/exp1/SS01.asc-00028-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,343.069694961,343.069694961,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,7.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,1.0,28.0,28.0,28.0,valid,right,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,-16.2206226913,-11.9077025232,1.34072094378,-12.0170440737,5.29229747676,5.73370658174,768.0,2514.83450998,NA,psycho,black,NA,NA,psycho,0.0,NA,NA,NA,-45.0,0.0,no,2517.08146819,2601.0,white,NA,0.0,NA,7.0,321.747357183,NA,NA,legacy,50.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,239804.290781,NA,NA,516.164183997,236693.480585,243824.433792,239794.287788,242979.428478,242876.110606,238073.600977,236035.899923,243324.365014,NA,238294.264838,NA,NA,242994.366779,NA,NA,NA,240314.309066,242884.343159,NA,NA,0045A,NA,28.0,1024.0,-320.0,NA,320.0,NA,-0.402040036967
1.0,traces/exp1/SS01.asc-00029-baseline.npy,traces/exp1/SS01.asc-00029-postTarget.npy,traces/exp1/SS01.asc-00029-preTarget.npy,NA,NA,NA,100.0,100.0,white,yes,336.314823837,336.314823837,#7f7f7f,NA,NA,psycho,NA,0.0,relative,1.0,7.0,0.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,0.0,1.0,29.0,29.0,29.0,valid,right,NA,Message,NA,NA,undefined,SS01.asc,NA,no,mono,no,18.0,white,-10.4132876132,-1.70738522954,3.37602707416,-13.5209327762,12.4926147705,8.22307781927,768.0,1751.16615158,NA,psycho,black,NA,NA,psycho,0.0,NA,NA,NA,-45.0,0.0,no,2439.60240964,2454.0,white,NA,0.0,NA,7.0,248.501499226,NA,NA,legacy,42.0,NA,experiment,None,0.0,even,legacy,NA,NA,NA,248354.464844,NA,NA,516.164183997,244483.000671,251525.315574,248344.809089,250749.590794,250647.623657,246621.24006,243836.542936,251024.498841,NA,246844.479743,NA,NA,250764.514037,NA,NA,NA,248864.466604,250654.508546,NA,NA,0045A,NA,29.0,1024.0,-320.0,NA,320.0,NA,-1.10505926318
