-,-,[subject_nr],[MEAN],[95ci]
-,-,[15.0],-,-
[subject_nr],[0.0],102.0,102.0,nan
[subject_nr],[1.0],122.0,122.0,nan
[subject_nr],[2.0],91.0,91.0,nan
[subject_nr],[3.0],46.0,46.0,nan
[subject_nr],[4.0],127.0,127.0,nan
[subject_nr],[5.0],18.0,18.0,nan
[subject_nr],[7.0],98.0,98.0,nan
[subject_nr],[8.0],126.0,126.0,nan
[subject_nr],[9.0],91.0,91.0,nan
[subject_nr],[10.0],108.0,108.0,nan
[subject_nr],[11.0],10.0,10.0,nan
[subject_nr],[12.0],107.0,107.0,nan
[subject_nr],[13.0],109.0,109.0,nan
[subject_nr],[14.0],106.0,106.0,nan
[subject_nr],[15.0],106.0,106.0,nan
[MEAN],-,91.1333333333,91.1333333333,-
[95ci],-,18.5871734029,-,36.7284760422
