-,-,[cue],[cue],[MEAN],[95ci]
-,-,[invalid],[valid],-,-
[subject_nr],[0.0],0.4375,0.632978723404,0.535239361702,0.138224330897
[subject_nr],[1.0],0.521739130435,0.646408839779,0.584073985107,0.0881547968859
[subject_nr],[2.0],0.565217391304,0.628272251309,0.596744821307,0.044586519096
[subject_nr],[3.0],0.608695652174,0.657458563536,0.633077107855,0.0344805852945
[subject_nr],[5.0],0.347826086957,0.642105263158,0.494965675057,0.208086801054
[subject_nr],[6.0],0.565217391304,0.636363636364,0.600790513834,0.0503079923374
[subject_nr],[7.0],0.558823529412,0.625,0.591911764706,0.0467938311079
[subject_nr],[8.0],0.652173913043,0.647058823529,0.649616368286,0.00361691448177
[subject_nr],[9.0],0.717948717949,0.654545454545,0.686247086247,0.0448328775018
[subject_nr],[10.0],0.604166666667,0.61780104712,0.610983856894,0.00964096287613
[subject_nr],[11.0],0.567567567568,0.625899280576,0.596733424072,0.0412467498262
[subject_nr],[12.0],0.644444444444,0.63687150838,0.640657976412,0.00535487444474
[subject_nr],[13.0],0.560975609756,0.648854961832,0.604915285794,0.0621400857792
[subject_nr],[14.0],0.5,0.653179190751,0.576589595376,0.108314044517
[subject_nr],[15.0],0.609756097561,0.613095238095,0.611425667828,0.00236112891511
[MEAN],-,0.564136813238,0.637726185492,0.600931499365,-
[95ci],-,0.0453283906287,0.00694492893708,-,0.0732425452167
