FOA,~R,~S,S,R,SUBJECT,STEP1_DUR
73.94,211.417,268.125,275.5,267.708,0,300
44.615,294.273,326.133,236.316,293.32,1,300
102.948,222.381,222,257.842,231.611,2,300
41.051,247.5,264.2,285.812,304.812,3,300
74.983,136.7,212.867,237,214.125,4,300
102.78,318.24,343.824,361.143,347.905,5,300
123.958,198.44,240.333,262.524,244.577,6,300
66.67,210.724,212.333,212,218.8,7,300
94.907,178.75,187.115,187.688,192.148,8,300
16.141,231.9,268.133,251.733,232.714,9,300
116.485,265.423,259.148,288.773,258.808,10,300
40.531,187.909,276.667,325.444,224.077,11,300
96.022,355.514,360.656,360.657,344.528,12,300
37.075,247.3,268.478,259.111,263.947,13,300
350.937,214.29,228.72,269.778,225.75,0,600
325.01,289.815,312.542,319.13,328.037,1,600
368.81,194.64,177.48,194.852,208.043,2,600
279.08,247.371,249.667,247.487,225,3,600
386.614,183.6,167.4,236.842,224.905,4,600
378.573,263,279,265.067,257.148,5,600
390.66,243.5,223.037,239.333,241.79,6,600
334.537,215.684,214.688,239.188,249.353,7,600
359.018,187.04,184.571,177.903,178.345,8,600
255.67,297.269,279.6,296.125,299.708,9,600
401.47,224,226.185,240.9,225.214,10,600
328.552,240.92,282,276.957,258.944,11,600
371.121,303.737,313.03,309.088,306.943,12,600
313.5,231.546,225.75,227.923,227.346,13,600
627.191,198.667,181.823,223.769,236.593,0,900
606.95,244.333,263.483,288.296,266.25,1,900
656.701,193.04,210.8,200.72,192.864,2,900
575.994,228.054,233.333,227,239.897,3,900
618.372,197.471,167.19,204.65,191.85,4,900
689.358,228,196.679,207.893,211.259,5,900
691.489,207.875,205.542,222.174,208.739,6,900
630.179,211.171,215.818,220.212,212.242,7,900
641.826,169.444,164.5,184.333,183.682,8,900
552.637,294.52,283.269,311.259,279.708,9,900
688.246,175.536,174.333,180.655,183.185,10,900
605.849,203.63,217.318,245.323,240.654,11,900
681.972,285.158,286.306,291.8,294.485,12,900
607.538,231.154,206.143,209.889,209.435,13,900
923.226,206.964,193.136,224.261,209.212,0,1200
889.785,219.759,242.5,251.938,253.567,1,1200
945.943,192,206,203.957,218.227,2,1200
861.799,239.919,240.323,242.278,227.622,3,1200
907.597,204.25,209.333,203.682,163.889,4,1200
996.5,193.759,206.429,208.433,201.172,5,1200
985,206.458,200.154,204.643,200.958,6,1200
916.921,232,229.237,245.167,212.853,7,1200
918.045,180,172.069,179.423,182.679,8,1200
803.495,250.111,277.185,299.593,268.3,9,1200
982.857,180.037,173,181.788,173.967,10,1200
926.685,222.625,219.333,239.6,208.167,11,1200
966.417,268.135,260.086,280.333,283.625,12,1200
883.6,204.786,214.5,203.826,237.704,13,1200
