-,-,[onset_present],[onset_present],[onset_present],[onset_present],[onset_present],[onset_present],[MEAN],[95ci]
-,-,[no],[no],[no],[yes],[yes],[yes],-,-
-,-,[cond],[cond],[cond],[cond],[cond],[cond],-,-
-,-,[both],[retino],[spatio],[both],[retino],[spatio],-,-
[FILE],[PP01.asc],7.40740740741,3.7037037037,9.80392156863,7.54716981132,14.5833333333,9.43396226415,8.74658301476,3.27415954654
[FILE],[PP02.asc],22.2222222222,12.5,4.16666666667,12.5,0.0,9.52380952381,10.1521164021,7.02375036095
[FILE],[PP03.asc],4.0,4.0,6.66666666667,7.69230769231,0.0,8.69565217391,5.17577108881,2.90111388448
[FILE],[PP04.asc],25.0,28.9473684211,25.0,36.8421052632,18.4210526316,23.8095238095,26.3366750209,5.62430374777
[FILE],[PP05.asc],5.0,3.22580645161,3.0303030303,0.0,3.125,2.43902439024,2.80335564536,1.48043976849
[FILE],[PP06.asc],14.2857142857,10.6382978723,8.16326530612,2.27272727273,8.69565217391,0.0,7.34260948514,4.85094640956
[FILE],[PP07.asc],8.0,3.92156862745,6.25,0.0,4.34782608696,7.69230769231,5.03528373445,2.72004583591
[FILE],[PP08.asc],8.33333333333,24.2424242424,26.6666666667,10.8108108108,8.33333333333,15.5555555556,15.657020657,7.36761265102
[MEAN],-,11.7810846561,11.3973961648,11.2184362381,9.70814010629,7.18827469489,9.64372942619,10.1561768811,-
[95ci],-,5.15007993957,6.5345017702,6.01169889466,7.73896456464,4.33010365008,4.80908222053,-,8.62097077288
