acc,accuracy,angle_offset,average_response_time,avg_rt,background,canvas_backend,compensation,coordinates,correct,correct_instructions,correct_instructions2,correct_instructions3,correct_keyboard_response,correct_response,count_about_this_experiment,count_blank,count_block_loop,count_block_sequence,count_canvas1,count_canvas2,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_fix_green,count_fix_red,count_fixdot,count_instructions,count_instructions2,count_instructions3,count_jitter,count_keyboard_response,count_load_sacclat,count_logger,count_practice_loop,count_prepare,count_synth,count_trial_sequence,delay_jitter,description,dist_col,foreground,height,jump_size,keyboard_backend,line_len,mouse_backend,onset,onset_present,positions,practice,radius,response,response_instructions,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_instructions,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,sampler_backend,set_size,start,stim_angle,stim_size,subject_nr,subject_parity,synth_backend,target,target_angle,target_col,time_fix_green,time_fixdot,time_jitter,title,width
"25","25","135","12422","12422","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","769","Logs experimental data","green","white","768","380","legacy","20","legacy","180","yes","300_0_60_120","yes","170","/","space","/","z","/","1440","11318","26277","10655","1440","legacy","4","experiment","60","34","7","odd","legacy","60","90","red","53195.0","48840.0","50090.0","0031B","1024"
"40","40","110","10191","10191","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","1","0","1","1","1","1232","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","240_180_300_0","yes","170","/","space","/","z","/","1266","11318","26277","10655","1266","legacy","4","experiment","60","34","7","odd","legacy","240","90","green","58620.0","53959.0","55209.0","0031B","1024"
"50","50","20","8675","8675","black","legacy","0","relative","1","undefined","undefined","undefined","1","z","0","2","0","0","2","2","0","0","0","0","2","2","2","0","0","0","2","2","0","2","0","2","2","2","0","Logs experimental data","red","white","768","380","legacy","20","legacy","120","yes","60_180_240","yes","170","z","space","/","z","z","1094","11318","26277","10655","1094","legacy","3","experiment","60","34","7","odd","legacy","240","0","green","62709.0","59373.0","60623.0","0031B","1024"
"57.142857","57.142857","208","7596","7596","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","3","0","0","3","3","0","0","0","0","3","3","3","0","0","0","3","3","0","3","0","3","3","3","444","Logs experimental data","green","white","768","380","legacy","20","legacy","120","yes","180_60_300","yes","170","/","space","/","z","/","1128","11318","26277","10655","1128","legacy","3","experiment","60","34","7","odd","legacy","300","90","red","67028.0","63460.0","64710.0","0031B","1024"
"62.5","62.5","352","6736","6736","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","4","0","0","4","4","0","0","0","0","4","4","4","0","0","0","4","4","0","4","0","4","4","4","733","Logs experimental data","red","white","768","380","legacy","20","legacy","60","yes","0_120_300","yes","170","/","space","/","z","/","717","11318","26277","10655","717","legacy","3","experiment","60","34","7","odd","legacy","0","90","green","71346.0","67781.0","69031.0","0031B","1024"
"66.666667","66.666667","75","6079","6079","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","5","0","0","5","5","0","0","0","0","5","5","5","0","0","0","5","5","0","5","0","5","5","5","0","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","60_300_0","yes","170","/","space","/","z","/","824","11318","26277","10655","824","legacy","3","experiment","60","34","7","odd","legacy","300","90","green","75205.0","72097.0","73347.0","0031B","1024"
"60","60","23","5550","5550","black","legacy","0","relative","0","undefined","undefined","undefined","0","slash","0","6","0","0","6","6","0","0","0","0","6","6","6","0","0","0","6","6","0","6","0","6","6","6","365","Logs experimental data","red","white","768","380","legacy","20","legacy","60","yes","0_240_120_180","yes","170","z","space","/","z","z","781","11318","26277","10655","781","legacy","4","experiment","60","34","7","odd","legacy","180","90","green","75205.0","75961.0","77211.0","0031B","1024"
"63.636364","63.636364","3","5118","5118","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","7","0","0","7","7","0","0","0","0","7","7","7","0","0","0","7","7","0","7","0","7","7","7","1595","Logs experimental data","red","white","768","380","legacy","20","legacy","na","no","60_180_300_120","yes","170","/","space","/","z","/","804","11318","26277","10655","804","legacy","4","experiment","60","34","7","odd","legacy","60","90","green","85294.0","80316.0","81567.0","0031B","1024"
"66.666667","66.666667","7","4764","4764","black","legacy","0","relative","1","undefined","undefined","undefined","1","slash","0","8","0","0","8","8","0","0","0","0","8","8","8","0","0","0","8","8","0","8","0","8","8","8","547","Logs experimental data","green","white","768","380","legacy","20","legacy","na","no","60_180_120_0","yes","170","/","space","/","z","/","864","11318","26277","10655","864","legacy","4","experiment","60","34","7","odd","legacy","180","90","red","89689.0","86046.0","87297.0","0031B","1024"
"61.538462","61.538462","2","4628","4628","black","legacy","0","relative","0","undefined","undefined","undefined","0","slash","0","9","0","0","9","9","0","0","0","0","9","9","9","0","0","0","9","9","0","9","0","9","9","9","748","Logs experimental data","green","white","768","380","legacy","20","legacy","na","no","120_180_300","yes","170","timeout","space","/","z","timeout","3002","11318","26277","10655","3002","legacy","3","experiment","60","34","7","odd","legacy","300","90","red","89689.0","90440.0","91690.0","0031B","1024"
"57.142857","57.142857","240","4512","4512","black","legacy","0","relative","0","undefined","undefined","undefined","0","z","0","10","0","0","10","10","0","0","0","0","10","10","10","0","0","0","10","10","0","10","0","10","10","10","704","Logs experimental data","green","white","768","380","legacy","20","legacy","na","no","0_60_240","yes","170","timeout","space","/","z","timeout","3002","11318","26277","10655","3002","legacy","3","experiment","60","34","7","odd","legacy","0","0","red","89689.0","97020.0","98270.0","0031B","1024"
"53.333333","53.333333","106","4411","4411","black","legacy","0","relative","0","undefined","undefined","undefined","0","z","0","11","0","0","11","11","0","0","0","0","11","11","11","0","0","0","11","11","0","11","0","11","11","11","44","Logs experimental data","green","white","768","380","legacy","20","legacy","120","yes","180_300_0_240","yes","170","timeout","space","/","z","timeout","3002","11318","26277","10655","3002","legacy","4","experiment","60","34","7","odd","legacy","240","0","red","89689.0","103643.0","104894.0","0031B","1024"
