-,-,[onset_present],[onset_present],[onset_present],[onset_present],[MEAN],[95ci]
-,-,[no],[no],[yes],[yes],-,-
-,-,[set_size],[set_size],[set_size],[set_size],-,-
-,-,[3.0],[4.0],[3.0],[4.0],-,-
[subject_nr],[1.0],7.8431372549,1.96078431373,7.8431372549,9.80392156863,6.86274509804,2.94117647059
[subject_nr],[2.0],7.8431372549,3.92156862745,18.3673469388,12.0,10.5330132053,5.34966044104
[subject_nr],[3.0],3.92156862745,7.8431372549,23.5294117647,15.6862745098,12.7450980392,7.53053504693
[subject_nr],[4.0],5.88235294118,7.8431372549,18.0,9.80392156863,10.3823529412,4.61141913805
[subject_nr],[5.0],3.92156862745,4.08163265306,7.8431372549,1.96078431373,4.45178071228,2.12864374059
[subject_nr],[6.0],17.6470588235,9.80392156863,19.6078431373,9.80392156863,14.2156862745,4.46589881331
[subject_nr],[7.0],4.08163265306,3.92156862745,9.80392156863,16.0,8.45178071228,4.9604665835
[subject_nr],[8.0],5.88235294118,7.8431372549,21.568627451,20.0,13.8235294118,7.0171701321
[MEAN],-,7.12785114046,5.90236094438,15.8204281713,11.8823529412,10.1832482993,-
[95ci],-,2.94631699468,1.78732777109,4.11078137173,3.53965250685,-,6.08970965291
