rtVal,rtInv,rtDiff,pePre,pePost,N,bin,subject_nr
257.159514107,537.492944768,280.333430661,46.5756417491,0,26,1,0.0
305.361108641,456.968660321,151.60755168,39.3748311156,0,26,2,0.0
334.07078977,425.237976872,91.1671871027,41.7123594314,0,25,3,0.0
390.67800298,379.649218809,-11.0287841716,47.468650835,0,25,4,0.0
411.52888716,891.316234127,479.787346968,72.6648982108,0,31,1,1.0
497.859515646,691.458785367,193.599269721,-13.1011824879,0,31,2,1.0
591.752073293,529.155357492,-62.5967158013,25.5017722971,0,30,3,1.0
864.590837144,400.111697998,-464.479139146,30.5410734495,0,30,4,1.0
318.509006882,602.934624141,284.425617259,3.11266546109,0,23,1,2.0
389.447359021,490.626035097,101.178676077,-101.930051304,0,23,2,2.0
471.059590917,422.656633735,-48.4029571819,13.2171343655,0,23,3,2.0
608.053539045,347.908288898,-260.145250146,-48.6463677466,0,22,4,2.0
373.043942567,1106.14070067,733.096758101,6.5888619503,0,13,1,3.0
470.616146735,843.506140908,372.889994173,3.86364719781,0,11,2,3.0
564.270807171,713.427394428,149.156587257,26.1565993116,0,11,3,3.0
864.81706507,705.498410168,-159.318654902,-21.2911488726,0,11,4,3.0
310.987946502,908.441490133,597.453543631,25.7021105,0,32,1,4.0
391.801334822,770.834867652,379.03353283,21.4251863787,0,32,2,4.0
453.179420408,660.241811935,207.062391527,25.7065696475,0,32,3,4.0
597.279598906,536.375002538,-60.9045963685,-9.4800093469,0,31,4,4.0
594.288227576,1251.12151367,656.833286089,124.005416887,0,6,1,5.0
723.920739741,925.729778987,201.809039246,-36.0958394747,0,4,2,5.0
830.363055053,921.849359594,91.4863045407,64.1304914287,0,4,3,5.0
1154.76294327,746.32990455,-408.433038725,-4.74973263867,0,4,4,5.0
259.327631117,672.741210179,413.413579062,57.5127794283,0,25,1,7.0
321.538085088,506.200637597,184.662552509,72.1154284394,0,25,2,7.0
369.371890393,465.220926584,95.8490361905,31.4846462724,0,24,3,7.0
472.307755299,366.660995756,-105.646759543,53.2616989429,0,24,4,7.0
400.393185247,1364.18668453,963.793499282,56.4892671533,0,32,1,8.0
500.126221076,1028.60909175,528.482870671,23.0490835975,0,32,2,8.0
668.018184473,898.587410982,230.569226509,25.855806147,0,31,3,8.0
981.424743964,659.671122732,-321.753621232,49.3604780626,0,31,4,8.0
438.147209802,924.966980253,486.819770452,-23.8293302614,0,23,1,9.0
527.466636023,648.394111593,120.92747557,6.67601977768,0,23,2,9.0
627.389716753,555.123519011,-72.2661977421,-41.2428243568,0,23,3,9.0
822.556262848,457.082753794,-365.473509054,-37.6177886396,0,22,4,9.0
363.08001265,889.727505572,526.647492922,30.2338602812,0,28,1,10.0
433.856793017,629.055190447,195.19839743,-28.0096998078,0,28,2,10.0
535.502239282,520.017364752,-15.4848745306,54.6641237031,0,26,3,10.0
750.831147946,416.176826691,-334.654321256,69.4145203173,0,26,4,10.0
567.217785641,1213.47586914,646.258083499,80.1193204783,0,3,1,11.0
313.522670566,703.68808817,390.165417603,116.867261774,0,27,1,12.0
413.162461005,523.182296318,110.019835313,61.7103114314,0,27,2,12.0
503.514058372,467.010542091,-36.5035162806,-2.58200719059,0,27,3,12.0
666.681762618,361.403428932,-305.278333687,15.4777894444,0,26,4,12.0
299.076621517,985.631525638,686.554904121,92.5785672799,0,28,1,13.0
370.001822325,725.566144652,355.564322328,57.7525248877,0,27,2,13.0
431.95194112,529.745486705,97.7935455845,97.067846271,0,27,3,13.0
583.325973827,406.157357903,-177.168615924,-8.85219738917,0,27,4,13.0
341.975254211,797.21071074,455.23545653,54.658758494,0,28,1,14.0
435.362834709,620.953992895,185.591158186,42.4417711815,0,26,2,14.0
588.635586197,526.71451775,-61.9210684469,29.3489736831,0,26,3,14.0
783.750996562,412.783340504,-370.967656059,50.0209717132,0,26,4,14.0
810.86195087,1308.28555329,497.423602419,65.3342650837,0,27,1,15.0
946.254216516,1101.4113856,155.15716908,-16.1332991041,0,27,2,15.0
1054.59090619,976.822425774,-77.7684804156,77.1521328857,0,26,3,15.0
1338.3189236,810.304261149,-528.014662448,-1.95042295479,0,26,4,15.0
