subject_nr,ce,pe,block
0.0,19.5478723404,54.974384424,1.0
1.0,12.4669709344,48.0384619267,1.0
2.0,6.30548600046,-4.48529177461,1.0
3.0,4.8762911362,46.448356267,1.0
5.0,29.4279176201,70.0897724315,1.0
6.0,7.11462450593,-5.31407673322,1.0
7.0,6.61764705882,20.1294979343,1.0
8.0,-0.511508951407,42.1316270122,1.0
9.0,-6.34032634033,7.93695813114,1.0
10.0,1.36343804538,33.263571275,1.0
11.0,5.8331713008,-13.1552283246,1.0
12.0,-0.757293606456,37.5073705587,1.0
13.0,8.7879352076,-2.56242176168,1.0
14.0,15.3179190751,40.8998621324,1.0
15.0,0.333914053426,40.8564195101,1.0
