-,-,[cue],[cue],[cue],[cue],[MEAN],[95ci]
-,-,[invalid],[invalid],[valid],[valid],-,-
-,-,[attLum],[attLum],[attLum],[attLum],-,-
-,-,[black],[white],[black],[white],-,-
[subject_nr],[0.0],0.875,0.958333333333,1.04210526316,0.881720430108,0.93928975665,0.078275339582
[subject_nr],[1.0],0.416666666667,0.318181818182,0.311111111111,0.285714285714,0.332918470418,0.0575462864933
[subject_nr],[2.0],0.304347826087,0.173913043478,0.09375,0.126315789474,0.17458166476,0.0925617927387
[subject_nr],[3.0],0.333333333333,0.227272727273,0.271739130435,0.247191011236,0.269884050569,0.0460432829406
[subject_nr],[5.0],0.227272727273,0.125,0.15625,0.223404255319,0.182981745648,0.0505705427931
[subject_nr],[6.0],0.0909090909091,0.333333333333,0.179775280899,0.379310344828,0.245832012492,0.133962121229
[subject_nr],[7.0],2.11111111111,1.875,2.03125,2.04166666667,2.01475694444,0.0996866473608
[subject_nr],[8.0],0.409090909091,0.291666666667,0.308510638298,0.301075268817,0.327585870718,0.0547720640621
[subject_nr],[9.0],1.15789473684,0.9,0.97619047619,1.01234567901,1.01160772301,0.10818364048
[subject_nr],[10.0],0.625,0.708333333333,0.479166666667,0.568421052632,0.595230263158,0.0963812462987
[subject_nr],[11.0],0.4375,0.714285714286,0.573529411765,0.887323943662,0.653159767428,0.192716866275
[subject_nr],[12.0],0.272727272727,0.0869565217391,0.252873563218,0.152173913043,0.191182817682,0.0872545350121
[subject_nr],[13.0],0.909090909091,1.0,1.12280701754,0.851351351351,0.970812319497,0.11837055425
[subject_nr],[14.0],0.1,0.0909090909091,0.0823529411765,0.0681818181818,0.0853609625668,0.0135308824491
[subject_nr],[15.0],0.35,0.238095238095,0.297619047619,0.190476190476,0.269047619048,0.0695248967082
[MEAN],-,0.574662972209,0.536085388042,0.545268703205,0.547778133368,0.550948799206,-
[95ci],-,0.264679584622,0.249856126831,0.271012699558,0.264079943695,-,0.50559210187
